year,wsdi
1899,NA
1900,NA
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,NA
1914,NA
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,17
1922,0
1923,0
1924,0
1925,20
1926,0
1927,7
1928,0
1929,NA
1930,0
1931,19
1932,6
1933,0
1934,0
1935,6
1936,9
1937,17
1938,12
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,12
1951,0
1952,0
1953,0
1954,8
1955,0
1956,13
1957,0
1958,6
1959,0
1960,0
1961,NA
1962,NA
1963,NA
1964,0
1965,NA
1966,0
1967,NA
1968,6
1969,0
1970,0
1971,0
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,0
1978,6
1979,0
1980,NA
1981,NA
1982,0
1983,6
1984,0
1985,0
1986,28
1987,0
1988,NA
1989,NA
1990,NA
1991,0
1992,NA
1993,0
1994,NA
1995,6
1996,6
1997,NA
1998,16
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,7
2009,13
2010,0
2011,19
2012,NA
2013,NA
2014,0
2015,14
2016,0
2017,0
2018,0
2019,6
2020,NA
2021,0
2022,0
2023,6
2024,0
2025,NA
